Nom,"Statut ",Assigned To (OLD utiliser Responsable),Dates,Temps vendus en jours
Atelier de co-construction,En cours,,22 avril 2025 → 20 mai 2025,
Rédaction du document,Pas commencé,,13 mai 2025 → 30 mai 2025,
Présentation à FBF,Pas commencé,,3 juin 2025,
Création V1,Pas commencé,,16 juin 2025 → 20 juin 2025,
Envoi clients + présentation,Pas commencé,,23 juin 2025,
Retours clients,Pas commencé,,23 juin 2025 → 25 juin 2025,
Itérations V2,Pas commencé,,25 juin 2025 → 27 juin 2025,
Envoi clients,Pas commencé,,27 juin 2025,
Retours clients,Pas commencé,,30 juin 2025 → 2 juillet 2025,
Itérations V3,Pas commencé,,2 juillet 2025 → 4 juillet 2025,
Envoi clients,Pas commencé,,4 juillet 2025,
Validation VF,Pas commencé,,4 juillet 2025,
UI (FR/EN),Pas commencé,,7 juillet 2025 → 12 septembre 2025,
Création V1,Pas commencé,,18 juillet 2025 → 25 juillet 2025,
"Envoi + présentation clients ",Pas commencé,,28 juillet 2025,
Retours clients,Pas commencé,,28 juillet 2025 → 30 juillet 2025,
Itérations V2,Pas commencé,,30 juillet 2025 → 1 août 2025,
Envoi clients,Pas commencé,,1 août 2025,
Retours clients,Pas commencé,,1 septembre 2025 → 5 septembre 2025,
Itérations V3,Pas commencé,,8 septembre 2025 → 12 septembre 2025,
Envoi clients,Pas commencé,,12 septembre 2025,
Validation VF,Pas commencé,,12 septembre 2025,
Rédaction du document,Pas commencé,,20 octobre 2025 → 31 octobre 2025,
Envoi clients,Pas commencé,,31 octobre 2025,
Design system + déclinaisons graphiques,Pas commencé,,6 octobre 2025 → 24 octobre 2025,
Création design system V1,Pas commencé,,6 octobre 2025 → 10 octobre 2025,
Envoi clients,Pas commencé,,13 octobre 2025,
Retours clients,Pas commencé,,13 octobre 2025 → 15 octobre 2025,
Itérations V2,Pas commencé,,15 octobre 2025 → 17 octobre 2025,
Envoi clients,Pas commencé,,20 octobre 2025,
Retours clients,Pas commencé,,20 octobre 2025 → 22 octobre 2025,
Itérations V3,Pas commencé,,22 octobre 2025 → 24 octobre 2025,
Envoi clients,Pas commencé,,24 octobre 2025,
Validation VF,Pas commencé,,24 octobre 2025,
Retours clients,Pas commencé,,3 juin 2025 → 6 juin 2025,
Itérations V2,Pas commencé,,9 juin 2025 → 13 juin 2025,
Validation note de cadrage,Pas commencé,,13 juin 2025,
Retours clients,Pas commencé,,3 novembre 2025 → 7 novembre 2025,
Itérations V2,Pas commencé,,10 novembre 2025 → 14 novembre 2025,
Envoi clients,Pas commencé,,14 novembre 2025,
Validations spécifications fonctionnelles,Pas commencé,,14 novembre 2025,
Envoi des documents,Pas commencé,,14 mai 2025,
Ajustement,Pas commencé,,8 décembre 2025 → 16 janvier 2026,
Cadrage editorial,Pas commencé,,,
Cadrage éditorial - Version anglaise,Pas commencé,,7 juillet 2025 → 1 août 2025,
UX (FR/EN),Pas commencé,,16 juin 2025 → 4 juillet 2025,
UI (FR/EN),Pas commencé,,15 septembre 2025 → 3 octobre 2025,
Création V1,Pas commencé,,15 septembre 2025 → 19 septembre 2025,
Envoi + présentation clients,Pas commencé,,15 septembre 2025,
Retours clients,Pas commencé,,15 septembre 2025 → 19 septembre 2025,
Itérations V2,Pas commencé,,22 septembre 2025 → 24 septembre 2025,
Envoi clients,Pas commencé,,24 septembre 2025,
Retours clients,Pas commencé,,24 septembre 2025 → 26 septembre 2025,
Itérations V3,Pas commencé,,29 septembre 2025 → 1 octobre 2025,
